,tokens,ner_tags,langs,spans
1497,"['ЮНӘЛТҮ', 'Эшче-крестьян', 'Кызыл', 'Гаскәре']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Эшче-крестьян Кызыл Гаскәре']
1498,"['Tatarstan', 'Hawa', 'Yulları']","[3, 4, 4]","['tt', 'tt', 'tt']",['ORG: Tatarstan Hawa Yulları']
1499,"['Әлеге', 'вакытта', 'Футбол', 'милли', 'лигасы', 'беренчелегендә', 'уйный', '.']","[0, 0, 3, 4, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Футбол милли лигасы беренчелегендә']
1500,"['ЮНӘЛТҮ', 'Бәхтияр', 'Канкай', 'углы']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Бәхтияр Канкай углы']
1501,"['Бала', 'чагында', 'Тукай', 'иҗатына', 'һәм', 'матур', 'әдәбиятка', 'гашыйк', 'егет', 'бик', 'мавыгып', 'шигырьләр', 'язарга', 'керешә', '.']","[0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Тукай']
1502,"['Басманы', 'башлангыч', 'чорында', 'Туфан', 'Миңнуллин', 'җитәкли', '.']","[0, 0, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Туфан Миңнуллин']
1503,"[""'"", ""''"", 'Кислая', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
1504,"['Клас', 'Понтус', 'Арнольдсон']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Клас Понтус Арнольдсон']
1505,"['Азәрбайҗанны', 'Алтын', 'Урда', 'дәүләтенә', 'кушкан', '.']","[5, 3, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Азәрбайҗанны', 'ORG: Алтын Урда']"
1506,"['Xalıqara', 'Qızıl', 'Xaç', 'häm', 'Yarımay', 'xäräkäte']","[3, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Xalıqara Qızıl Xaç häm Yarımay xäräkäte']
1507,"['Балтыйк', 'буе', 'хәрби', 'округының', ""''"", '(', 'ком', '.']","[3, 4, 4, 4, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Балтыйк буе хәрби округының']
1508,"[""'"", ""''"", 'Солтанбәк', ""''"", ""'"", '—', 'Башкортстанның', 'Дүртөйле', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 5, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Башкортстанның', 'LOC: Дүртөйле районында']"
1509,"[""'"", ""''"", 'Калуй', ""''"", ""'"", '—', 'Башкортстанның', 'Учалы', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 5, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Башкортстанның', 'LOC: Учалы районында']"
1510,"['ЮНӘЛТҮ', 'Енисей', '(', 'футбол', 'клубы', ',', 'Красноярск', ')']","[0, 3, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Енисей ( футбол клубы , Красноярск )']"
1511,"['Архангельск', 'өлкәсе', ',', 'Вологда', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Архангельск өлкәсе', 'LOC: Вологда өлкәсе']"
1512,"['Архангельск', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Архангельск өлкәсе']
1513,"['Таҗикларда', '—', 'Мөшфикә', ';']","[3, 0, 0, 0]","['tt', 'tt', 'tt', 'tt']",['ORG: Таҗикларда']
1514,"['yünältü', 'Габдуллаһ', 'ибне', 'Гомәр']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Габдуллаһ ибне Гомәр']
1515,"['Әлеге', 'вакытта', 'Русиянең', 'Футбол', 'Премьер-Лигасында', 'уйный', '.']","[0, 0, 3, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Русиянең Футбол Премьер-Лигасында']
1516,"['Чыңгызханга', 'җиңелгән', '(', '1223-1236', '?', ')']","[1, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Чыңгызханга']
1517,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
1518,"['ЮНӘЛТҮ', 'Тубыл', '(', 'елга', ')']","[0, 5, 6, 6, 6]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Тубыл ( елга )']
1519,"['Чжао', 'Мэнфу', '(', 'кратер', ')']","[5, 6, 6, 6, 6]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Чжао Мэнфу ( кратер )']
1520,"['«Ике', 'хат»', 'М.', 'Кәрим']","[0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt']",['PER: М. Кәрим']
1521,"[""'"", ""''"", 'Кызылкүл', ""''"", ""'"", '(', ')', '—', 'Сембер', 'өлкәсенең', 'Яңа', 'Малыклы', 'районында', 'урнашкан', 'сала', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Сембер өлкәсенең', 'LOC: Яңа Малыклы районында']"
1522,"['Selena', 'Gomez', 'Facebook', 'сәхифәсендә']","[0, 0, 3, 0]","['tt', 'tt', 'tt', 'tt']",['ORG: Facebook']
1523,"['Марат', 'Измайлов', '(', '21.09.1982', ')', ',', 'футболчы', '.']","[1, 2, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Марат Измайлов']
1524,"[""''Мәйсәрә"", ""''"", '—', '«Зәңгәр', 'шәл»', 'Кәрим', 'Тинчурин']","[0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Кәрим Тинчурин']
1525,"['Серик', 'Әхмәтов', ""''"", '(', '25.06', '.']","[1, 2, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Серик Әхмәтов']
1526,"['Көнбатыш', 'фронт', '(', 'Георгий', 'Жуков', ')', '.']","[3, 4, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Көнбатыш фронт', 'PER: Георгий Жуков']"
1527,"['Чаллыбаш', 'районы', ',', 'Сергиевск', 'районы']","[5, 6, 0, 5, 6]","['tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Чаллыбаш районы', 'LOC: Сергиевск районы']"
1528,"['«ЦСКА»', 'футбол', 'клубы', '(', 'Мәскәү', ')']","[3, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: «ЦСКА» футбол клубы ( Мәскәү )']
1529,"['ЮНӘЛТҮ', 'ССРБ', 'Югары', 'Шурасы']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: ССРБ Югары Шурасы']
1530,"['«Диләфрүзгә', 'дүрт', 'кияү»', 'Т.', 'Миңнуллин', '—', ""''Җәмил"", ""''""]","[0, 0, 0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Т. Миңнуллин']
1531,"['Калинин', 'фронты', '(', 'Иван', 'Степан', 'улы', 'Конев', ')', '.']","[5, 6, 0, 1, 2, 2, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Калинин фронты', 'PER: Иван Степан улы Конев']"
1532,"['ЮНӘЛТҮ', 'Empayr', 'Steyt', 'Bilding']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Empayr Steyt Bilding']
1533,"['Милләтләр', 'Дуслыгы', 'оешмасына', 'керә', '.']","[3, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Милләтләр Дуслыгы']
1534,"['Галиәсгар', 'Камал', 'исемендәге', 'Татар', 'дәүләт', 'академия', 'театры']","[3, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Галиәсгар Камал исемендәге Татар дәүләт академия театры']
1535,"['Татар', 'дәүләт', 'гуманитар-педагогика', 'университеты']","[3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Татар дәүләт гуманитар-педагогика университеты']
1536,"['ЮНӘЛТҮ', 'Hawa', 'transportı', 'buyınça', 'federal', ""'"", 'agentlıq']","[0, 3, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","[""ORG: Hawa transportı buyınça federal ' agentlıq""]"
1537,"['Көнбатыш', 'фронт', '(', 'Георгий', 'Жуков', ')', '.']","[3, 4, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Көнбатыш фронт', 'PER: Георгий Жуков']"
1538,"['Словакия', ',', 'Чехия', '—', ""'"", ""''"", 'Укытучылар', 'көне', ""''"", ""'"", ""''"", '(', ',', ')', '.']","[5, 0, 5, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Словакия', 'LOC: Чехия', 'PER: Укытучылар көне']"
1539,"['/', '-', ""'"", ""''"", 'Елизавета', 'II', 'туган', 'көне', ""''"", ""'"", ""''"", '.']","[0, 0, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Елизавета II']
1540,"['Русия', 'фәннәр', 'академиясе']","[3, 4, 4]","['tt', 'tt', 'tt']",['ORG: Русия фәннәр академиясе']
1541,"['Киров', 'өлкәсе', ',', 'Түбән', 'Новгород', 'өлкәсе', ',', 'Мари', 'Ил', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсе', 'LOC: Түбән Новгород өлкәсе', 'LOC: Мари Ил']"
1542,"[""''Ромео"", ""''"", '—', '«Ромео', 'һәм', 'Джульетта»', 'Уильям', 'Шекспир']","[0, 0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Уильям Шекспир']
1543,"['Төньяк', 'Осетия', 'биләмәләрендә', 'ага', '.']","[3, 4, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Төньяк Осетия']
1544,"['ЮНӘЛТҮ', 'ССРБ', 'эчке', 'эшләр', 'халык', 'комиссарлыгы']","[0, 3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: ССРБ эчке эшләр халык комиссарлыгы']
1545,"['Липецк', 'өлкәсе', ',', 'Тула', 'өлкәсе', ',', 'Рәзән', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Липецк өлкәсе', 'LOC: Тула өлкәсе', 'LOC: Рәзән өлкәсе']"
1546,"['Montaj', 'häm', 'sınawlar', 'Bayqoñğır', 'ğäläm', 'alanında', 'uza', '.']","[0, 0, 0, 3, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Bayqoñğır ğäläm alanında']
1547,"['Пермь', 'крае', ',', 'Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Пермь крае', 'LOC: Коми Республикасы']"
1548,"['Киров', 'өлкәсе', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Киров өлкәсе']
1549,"['ЮНӘЛТҮ', 'Лив', 'һәм', 'Мэдди']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Лив һәм Мэдди']
1550,"['Халыкара', 'икътисадый', 'хезмәттәшлек', 'һәм', 'үсеш', 'оешмасы']","[3, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Халыкара икътисадый хезмәттәшлек һәм үсеш оешмасы']
1551,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
1552,"['Биредә', 'һава', 'торышы', 'бик', 'үзгәрүчән', ',', 'моның', 'төп', 'сәбәбе', 'булып', 'Урал', 'таулары', 'тора', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Урал таулары']
1553,"['Калинин', 'фронты', '(', 'Иван', 'Степан', 'улы', 'Конев', ')', '.']","[5, 6, 0, 1, 2, 2, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Калинин фронты', 'PER: Иван Степан улы Конев']"
1554,"['«Озын-озак', 'балачак»', 'М.', 'Кәрим']","[0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt']",['PER: М. Кәрим']
1555,"['Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Коми Республикасы']
1556,"['Томск', 'өлкәсе', ',', 'Красноярск', 'крае', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Томск өлкәсе', 'LOC: Красноярск крае']"
1557,"['Симон', 'Петер', 'Паллас']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Симон Петер Паллас']
1558,"['Бердәм', 'дәүләт', 'имтиханы']","[3, 4, 4]","['tt', 'tt', 'tt']",['ORG: Бердәм дәүләт имтиханы']
1559,"['ЮНӘЛТҮ', 'Georg', 'Fridrix', 'Händel']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Georg Fridrix Händel']
1560,"['Ул', '-', 'Бәхтияр', 'Канкаев', ',', 'баш', 'полковник', ',', 'бригадир', ',', 'Е.И', '.']","[0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Бәхтияр Канкаев']
1561,"['«Үле', 'җаннар»', ""''«Мертвые"", 'души»', ""''"", 'Н.В.', 'Гоголь', '-', 'Улинька']","[0, 0, 0, 0, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Н.В. Гоголь']
1562,"['Елга', 'Ирбит', 'елгасының', 'уң', 'ярына', 'тамагыннан', '52', 'км', 'өстәрәк', 'кушыла', '.']","[0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Ирбит']
1563,"[""'"", ""''"", 'Сугмутен-Яун', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
1564,"['Галим', '—', '«Диләфрүз', '—', 'Remake»', ',', 'Туфан', 'Миңнуллин']","[0, 0, 0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Туфан Миңнуллин']
1565,"['Шулай', 'итеп', ',', 'Алар', 'Пангеянең', 'көнбатышында', 'яшәгәннәр', '.']","[0, 0, 0, 0, 3, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Пангеянең']
1566,"['Mäskäwneñ', 'buysındıruı', '(', '1382', ')', 'da', 'qarağız']","[3, 4, 4, 4, 4, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Mäskäwneñ buysındıruı ( 1382 )']
1567,"[""'"", ""''"", 'Кайчак', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
1568,"[""'"", ""''"", 'Пянда', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
1569,"[""''Мәхмүт"", ""''"", '«Җәяүле', 'Мәхмүт»', 'М.', 'Кәрим']","[0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: М. Кәрим']
1570,"['Ленинград', 'хәрби', 'округының', ""''"", '(', 'ком', '.']","[3, 4, 4, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Ленинград хәрби округының']
1571,"['ЮНӘЛТҮ', 'Toronto', 'fond', 'birjası']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Toronto fond birjası']
1572,"['Киров', 'өлкәсендә', 'Шушма', 'елгасына', 'кушылып', ',', 'аның', 'кушылдыгы', 'булып', 'тора', '.']","[5, 6, 5, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсендә', 'LOC: Шушма']"
1573,"['ЮНӘЛТҮ', 'Rusiä', 'Federatsiäseneñ', 'Üzäk', 'bankı']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Rusiä Federatsiäseneñ Üzäk bankı']
1574,"[""'"", ""''"", 'Прокопьевское', ""''"", ""'"", '(', ')', '—', 'Киров', 'өлкәсенең', 'Шабалино', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Киров өлкәсенең', 'LOC: Шабалино районында']"
1575,"['ЮНӘЛТҮ', 'Бахмут', '(', 'Донецк', 'өлкәсе', ')']","[0, 3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Бахмут ( Донецк өлкәсе )']
1576,"['Алания', '(', 'футбол', 'клубы', ',', 'Владикавказ', ')']","[3, 4, 4, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Алания ( футбол клубы , Владикавказ )']"
1577,"['Шиһабетдин', 'Мәрҗанидән', 'дәресләр', 'ала', '.']","[1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Шиһабетдин Мәрҗанидән']
1578,"[""'"", ""''"", 'Святица', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
1579,"['«Повесть', 'временных', 'лет»', 'елъязмасы', 'буенча', 'Рюрик', '-', 'шушы', 'берлекнең', 'башлыгы', 'булган', '.']","[0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Рюрик']
1580,"[""''Сәләхетдин"", ""''"", '«Мулла»', 'Т.', 'Миңнуллин']","[0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Т. Миңнуллин']
1581,"['Казан', 'дәүләт', 'медицина', 'университеты']","[3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Казан дәүләт медицина университеты']
1582,"[""'"", ""''"", 'Коптяевская', ""''"", ""'"", '(', ')', '—', 'Архангельск', 'өлкәсенең', 'Вельск', 'районы', 'составына', 'керүче', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 5, 6, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Архангельск өлкәсенең', 'LOC: Вельск районы']"
1583,"[""'"", ""''"", 'Юлбаш', ""''"", ""'"", '—', 'Башкортстанның', 'Күгәрчен', 'районында', 'урнашкан', 'авыл', '.']","[0, 0, 0, 0, 0, 0, 5, 5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['LOC: Башкортстанның', 'LOC: Күгәрчен районында']"
1584,"[""''Майшәкәр"", ""''"", '—', '«Һиҗрәт»', 'Нәкый', 'Исәнбәт']","[0, 0, 0, 0, 1, 2]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Нәкый Исәнбәт']
1585,"['ЮНӘЛТҮ', 'Балалар', 'өчен', 'Eurovision', 'җыр', 'бәйгесе']","[0, 3, 4, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Балалар өчен Eurovision җыр бәйгесе']
1586,"['==', 'Ф.', 'Яруллин', 'белән', 'очрашу', '==']","[0, 1, 2, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Ф. Яруллин']
1587,"[""'"", ""''"", 'Руслай', ""''"", ""'"", '—', 'Русия', 'территориясеннән', 'ага', 'торган', 'елга', '.']","[0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Русия']
1588,"[""''Шәһәр"", 'башлыгы', ""''"", '(', ""''Городничий"", ""''"", ')', '—', '«Ревизор»', 'Н.В.', 'Гоголь', '.']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Н.В. Гоголь']
1589,"['Көнбатыш', 'фронт', '(', 'Георгий', 'Жуков', ')', '.']","[3, 4, 0, 1, 2, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']","['ORG: Көнбатыш фронт', 'PER: Георгий Жуков']"
1590,"['Ул', 'Дәүс', 'кабиләсенең', 'Мәккәдән', 'көньякта', 'урнашкан', 'тармагы', 'башлыгы', 'була', '.']","[0, 0, 0, 5, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Мәккәдән']
1591,"['Тициан', '(', 'кратер', ')']","[5, 6, 6, 6]","['tt', 'tt', 'tt', 'tt']",['LOC: Тициан ( кратер )']
1592,"['Композиторы', '—', 'Нәҗип', 'Җиһанов', '.']","[0, 0, 1, 2, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['PER: Нәҗип Җиһанов']
1593,"['ЮНӘЛТҮ', 'Albert', 'Abraham', 'Maykelson']","[0, 1, 2, 2]","['tt', 'tt', 'tt', 'tt']",['PER: Albert Abraham Maykelson']
1594,"['Ләкин', 'Мамай', 'Газизне', 'узып', 'киткәч', 'үз', 'йогынтысын', 'Урыс', 'Олысында', 'ныгыткан', '.']","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt', 'tt']",['PER: Мамай']
1595,"['ЮНӘЛТҮ', 'Эшче-крестьян', 'Кызыл', 'Гаскәре']","[0, 3, 4, 4]","['tt', 'tt', 'tt', 'tt']",['ORG: Эшче-крестьян Кызыл Гаскәре']
1596,"['Шарль', 'де', 'Голль']","[1, 2, 2]","['tt', 'tt', 'tt']",['PER: Шарль де Голль']
1597,"['ЮНӘЛТҮ', 'Rusiäneñ', 'Qara', 'diñgez', 'flotı']","[0, 3, 4, 4, 4]","['tt', 'tt', 'tt', 'tt', 'tt']",['ORG: Rusiäneñ Qara diñgez flotı']
1598,"['Коми', 'Республикасы', 'биләмәләрендә', 'ага', '.']","[5, 6, 0, 0, 0]","['tt', 'tt', 'tt', 'tt', 'tt']",['LOC: Коми Республикасы']
